fecha,smvm_mensual,smvm_diario,smvm_hora
2010-01-01,1500.0,60.0,7.5
2010-02-01,1500.0,60.0,7.5
2010-03-01,1500.0,60.0,7.5
2010-04-01,1500.0,60.0,7.5
2010-05-01,1500.0,60.0,7.5
2010-06-01,1500.0,60.0,7.5
2010-07-01,1500.0,60.0,7.5
2010-08-01,1740.0,69.6,8.7
2010-09-01,1740.0,69.6,8.7
2010-10-01,1740.0,69.6,8.7
2010-11-01,1740.0,69.6,8.7
2010-12-01,1740.0,69.6,8.7
2011-01-01,1840.0,73.6,9.2
2011-02-01,1840.0,73.6,9.2
2011-03-01,1840.0,73.6,9.2
2011-04-01,1840.0,73.6,9.2
2011-05-01,1840.0,73.6,9.2
2011-06-01,1840.0,73.6,9.2
2011-07-01,1840.0,73.6,9.2
2011-08-01,1840.0,92.0,11.5
2011-09-01,2300.0,92.0,11.5
2011-10-01,2300.0,92.0,11.5
2011-11-01,2300.0,92.0,11.5
2011-12-01,2300.0,92.0,11.5
2012-01-01,2300.0,92.0,11.5
2012-02-01,2300.0,92.0,11.5
2012-03-01,2300.0,92.0,11.5
2012-04-01,2300.0,92.0,11.5
2012-05-01,2300.0,92.0,11.5
2012-06-01,2300.0,92.0,11.5
2012-07-01,2300.0,92.0,11.5
2012-08-01,2300.0,92.0,11.5
2012-09-01,2670.0,106.8,13.35
2012-10-01,2670.0,106.8,13.35
2012-11-01,2670.0,106.8,13.35
2012-12-01,2670.0,106.8,13.35
2013-01-01,2670.0,106.8,13.35
2013-02-01,2875.0,115.0,14.375
2013-03-01,2875.0,115.0,14.375
2013-04-01,2875.0,115.0,14.375
2013-05-01,2875.0,115.0,14.375
2013-06-01,2875.0,115.0,14.375
2013-07-01,2875.0,115.0,14.375
2013-08-01,3300.0,132.0,16.5
2013-09-01,3300.0,132.0,16.5
2013-10-01,3300.0,132.0,16.5
2013-11-01,3300.0,132.0,16.5
2013-12-01,3300.0,132.0,16.5
2014-01-01,3600.0,144.0,18.0
2014-02-01,3600.0,144.0,18.0
2014-03-01,3600.0,144.0,18.0
2014-04-01,3600.0,144.0,18.0
2014-05-01,3600.0,144.0,18.0
2014-06-01,3600.0,144.0,18.0
2014-07-01,3600.0,144.0,18.0
2014-08-01,3600.0,144.0,18.0
2014-09-01,4400.0,176.0,22.0
2014-10-01,4400.0,176.0,22.0
2014-11-01,4400.0,176.0,22.0
2014-12-01,4400.0,176.0,22.0
2015-01-01,4716.0,188.64,23.58
2015-02-01,4716.0,188.64,23.58
2015-03-01,4716.0,188.64,23.58
2015-04-01,4716.0,188.64,23.58
2015-05-01,4716.0,188.64,23.58
2015-06-01,4716.0,188.64,23.58
2015-07-01,4716.0,188.64,23.58
2015-08-01,5588.0,223.52,27.94
2015-09-01,5588.0,223.52,27.94
2015-10-01,5588.0,223.52,27.94
2015-11-01,5588.0,223.52,27.94
2015-12-01,5588.0,223.52,27.94
2016-01-01,6060.0,242.4,30.3
2016-02-01,6060.0,242.4,30.3
2016-03-01,6060.0,242.4,30.3
2016-04-01,6060.0,242.4,30.3
2016-05-01,6060.0,242.4,30.3
2016-06-01,6810.0,272.4,34.05
2016-07-01,6810.0,272.4,34.05
2016-08-01,6810.0,272.4,34.05
2016-09-01,7560.0,302.4,37.8
2016-10-01,7560.0,302.4,37.8
2016-11-01,7560.0,302.4,37.8
2016-12-01,7560.0,302.4,37.8
2017-01-01,8060.0,322.4,40.3
2017-02-01,8060.0,322.4,40.3
2017-03-01,8060.0,322.4,40.3
2017-04-01,8060.0,322.4,40.3
2017-05-01,8060.0,322.4,40.3
2017-06-01,8060.0,322.4,40.3
2017-07-01,8860.0,354.4,44.3
2017-08-01,8860.0,354.4,44.3
2017-09-01,8860.0,354.4,44.3
2017-10-01,8860.0,354.4,44.3
2017-11-01,8860.0,354.4,44.3
2017-12-01,8860.0,354.4,44.3
2018-01-01,9500.0,380.0,47.5
2018-02-01,9500.0,380.0,47.5
2018-03-01,9500.0,380.0,47.5
2018-04-01,9500.0,380.0,47.5
2018-05-01,9500.0,380.0,47.5
2018-06-01,9500.0,380.0,47.5
2018-07-01,10000.0,400.0,50.0
2018-08-01,10000.0,400.0,50.0
2018-09-01,10700.0,428.0,53.5
